 9 1 2 | 3 4 7 | 8 6 5
 3 7 6 | 5 9 8 | 2 0 4
 8 4 5 | 1 2 6 | 3 7 9
 ------|-------|------
 5 3 8 | 2 7 9 | 4 1 6
 1 6 9 | 8 5 4 | 7 2 0
 4 2 7 | 6 1 0 | 5 9 3
 ------|-------|------
 7 5 3 | 9 0 2 | 6 4 8
 6 9 4 | 7 8 5 | 1 3 2
 2 8 1 | 4 6 3 | 9 5 7


       |       |      
       |       |     4
       |       |      
 ------|-------|------
       |       |      
       |       |      
       |       |      
 ------|-------|------
       |       |   4  
   9   |       |      
 2     |       |      
