 4 6 8 | 1 9 3 | 7 5 2
 1 3 7 | 2 4 5 | 8 9 6
 2 9 5 | 6 8 7 | 1 4 3
 ------|-------|------
 5 8 1 | 7 3 2 | 4 6 9
 7 4 6 | 5 1 9 | 2 3 8
 9 2 3 | 8 6 4 | 5 7 1
 ------|-------|------
 6 1 9 | 4 7 8 | 3 2 5
 8 5 4 | 3 2 6 | 9 1 7
 3 7 2 | 9 5 1 | 6 8 4


 4     |       | 7 5  
       |     5 |      
       |       | 1    
 ------|-------|------
   8   |       |   6  
     6 |   1   |      
   2   | 8   4 |      
 ------|-------|------
       |       |      
       |       |      
 3   2 |     1 |      
